q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_4_frames_010_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])	error
3.31956200e+00	1.11722860e+00	1.70237274e-01
3.32954100e+00	8.27032700e-01	1.63866518e-01
3.33951900e+00	9.32034900e-01	1.63667438e-01
3.34949800e+00	9.86000000e-01	1.67947863e-01
3.35947700e+00	5.59196000e-01	6.52386393e+00
3.36945600e+00	7.23460700e-01	6.60688065e+00
3.37943500e+00	1.02029490e+00	6.82464611e+00
3.38941400e+00	1.08740990e+00	6.87587802e+00
3.39939200e+00	6.53199300e-01	1.58967016e-01
3.40937100e+00	7.18892000e-01	1.59222690e-01
3.41935000e+00	1.09837150e+00	6.94228247e+00
3.42932900e+00	9.00065300e-01	6.76324348e+00
3.43930800e+00	7.10890300e-01	6.62431844e+00
3.44928700e+00	1.21177940e+00	1.71213810e-01
3.45926600e+00	6.94808300e-01	1.56605517e-01
3.46924400e+00	1.08240580e+00	1.65249705e-01
3.47922300e+00	9.32351100e-01	6.80111361e+00
3.48920200e+00	9.56098900e-01	6.83541417e+00
3.49918100e+00	8.25930800e-01	6.73249130e+00
3.50916000e+00	1.01222200e+00	6.88733510e+00
3.51913900e+00	8.45820600e-01	1.59919114e-01
3.52911800e+00	5.78676800e-01	1.52830479e-01
3.53909600e+00	9.31504900e-01	1.61346023e-01
3.54907500e+00	7.78864000e-01	1.58083188e-01
3.55905400e+00	6.61228500e-01	1.53684919e-01
3.56903300e+00	8.50097100e-01	1.60330219e-01
3.57901200e+00	7.79265600e-01	1.56313604e-01
3.58899100e+00	7.72631400e-01	1.57667347e-01
3.59897000e+00	6.56770300e-01	1.53697837e-01
3.60894800e+00	9.36360200e-01	1.60402333e-01
3.61892700e+00	9.00306900e-01	1.60845717e-01
3.62890600e+00	9.84250200e-01	1.58695671e-01
3.63888500e+00	9.41802200e-01	1.59696225e-01
3.64886400e+00	8.35780700e-01	1.56436546e-01
3.65884300e+00	1.15044180e+00	1.64029668e-01
3.66882200e+00	9.02781700e-01	6.77618983e+00
3.67880000e+00	8.52121300e-01	6.72678781e+00
3.68877900e+00	6.40152100e-01	1.52755282e-01
3.69875800e+00	9.45622500e-01	1.57881161e-01
3.70873700e+00	7.46879200e-01	1.54738337e-01
3.71871600e+00	8.06290700e-01	1.55956358e-01
3.72869500e+00	7.85399700e-01	1.53938864e-01
3.73867400e+00	5.56159200e-01	1.50701012e-01
3.74865200e+00	6.07867400e-01	1.50012774e-01
3.75863100e+00	6.65437300e-01	6.61589388e+00
3.76861000e+00	7.25147000e-01	6.67765229e+00
3.77858900e+00	1.01595280e+00	6.86080248e+00
3.78856800e+00	6.93898400e-01	1.53286571e-01
3.79854700e+00	8.28421800e-01	1.52514476e-01
3.80852500e+00	7.64226500e-01	6.67603230e+00
3.81850400e+00	9.67221000e-01	6.82733962e+00
3.82848300e+00	6.49158800e-01	1.49817746e-01
3.83846200e+00	1.11172430e+00	6.85986796e+00
3.84844100e+00	1.11312700e+00	6.93265546e+00
3.85842000e+00	5.37845800e-01	1.47049666e-01
3.86839900e+00	1.05707240e+00	1.57763750e-01
3.87837700e+00	8.16839200e-01	1.53018615e-01
3.88835600e+00	9.32312900e-01	1.54777496e-01
3.89833500e+00	6.07375700e-01	3.94691260e+00
3.90831400e+00	8.23107400e-01	3.95419878e+00
3.91829300e+00	9.08670300e-01	1.53011377e-01
3.92827200e+00	1.11796480e+00	1.58963172e-01
3.93825100e+00	1.12147900e+00	1.56644233e-01
3.94822900e+00	1.11884010e+00	1.57750253e-01
3.95820800e+00	1.11574150e+00	1.58202032e-01
3.96818700e+00	7.13450500e-01	1.47942562e-01
3.97816600e+00	9.01046800e-01	1.52806746e-01
3.98814500e+00	9.45380500e-01	6.82409790e+00
3.99812400e+00	7.70695600e-01	6.72590530e+00
4.00810300e+00	6.91452700e-01	1.46499502e-01
4.01808100e+00	9.63505400e-01	1.54502853e-01
4.02806000e+00	8.45878300e-01	1.51507027e-01
4.03803900e+00	5.25203800e-01	1.43511227e-01
4.04801800e+00	6.62087300e-01	1.47569862e-01
4.05799700e+00	9.71721700e-01	6.86130977e+00
4.06797600e+00	6.39522100e-01	6.68946808e+00
4.07795500e+00	1.01808160e+00	6.87747685e+00
4.08793300e+00	7.55366200e-01	6.74739703e+00
4.09791200e+00	1.04353670e+00	1.54407800e-01
4.10789100e+00	6.60202700e-01	1.44649645e-01
4.11787000e+00	8.81086200e-01	1.50807462e-01
4.12784900e+00	8.77093800e-01	1.49120991e-01
4.13782800e+00	5.38390300e-01	1.41839295e-01
4.14780700e+00	1.03060010e+00	1.55083125e-01
4.15778500e+00	9.69994200e-01	1.49462038e-01
4.16776400e+00	5.91894400e-01	1.43344538e-01
4.17774300e+00	7.71864300e-01	6.71155922e+00
4.18772200e+00	9.45434400e-01	6.82298876e+00
4.19770100e+00	7.43063400e-01	6.72531723e+00
4.20768000e+00	9.08487800e-01	1.48707652e-01
4.21765800e+00	1.11031200e+00	1.53896853e-01
4.22763700e+00	1.04633330e+00	1.51154595e-01
4.23761600e+00	5.39432000e-01	3.96046452e+00
4.24759500e+00	8.15589800e-01	3.95962152e+00
4.25757400e+00	8.47389300e-01	3.97608649e+00
4.26755300e+00	8.87787900e-01	6.84314449e+00
4.27753200e+00	1.05547910e+00	6.91686312e+00
4.28751000e+00	9.31007500e-01	6.84631003e+00
4.29748900e+00	5.56786700e-01	6.62007295e+00
4.30746800e+00	7.16758800e-01	6.67261691e+00
4.31744700e+00	6.39787400e-01	1.41880774e-01
4.32742600e+00	6.80970100e-01	1.42603247e-01
4.33740500e+00	8.61057100e-01	1.46304093e-01
4.34738400e+00	8.30950300e-01	1.44162462e-01
4.35736200e+00	9.51915700e-01	1.48727751e-01
4.36734100e+00	6.55022900e-01	1.41778806e-01
4.37732000e+00	7.88894100e-01	1.44836429e-01
4.38729900e+00	5.37258300e-01	1.39057207e-01
4.39727800e+00	8.34884700e-01	1.43418714e-01
4.40725700e+00	5.37349500e-01	1.39021758e-01
