q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_3_000_350_mult.dat_00001_[mult(Lyso_Lyso_3_000_350.dat_00001_[]*1.5000)]-Lyso_Buffer_000_350.dat_00001_[])	error
4.79643200e+00	9.71989000e-01	1.04725878e-01
4.80641100e+00	7.46223000e-01	1.06460850e-01
4.81639000e+00	7.91372000e-01	9.70271956e+00
4.82636900e+00	7.37445500e-01	9.55126991e+00
4.83634700e+00	8.24113500e-01	9.69838406e+00
4.84632600e+00	7.76361000e-01	9.71324159e+00
4.85630500e+00	7.80508500e-01	1.09108257e-01
4.86628400e+00	9.56941000e-01	1.07162040e-01
4.87626300e+00	9.21239000e-01	1.07955959e-01
4.88624200e+00	8.22930500e-01	1.11201420e-01
4.89622100e+00	8.35473500e-01	1.10821251e-01
4.90619900e+00	7.62962500e-01	1.13707029e-01
4.91617800e+00	6.13069000e-01	1.12129220e-01
4.92615700e+00	8.68142000e-01	1.14382926e-01
4.93613600e+00	8.13949000e-01	1.15516457e-01
4.94611500e+00	7.74218500e-01	1.12974527e-01
4.95609400e+00	6.24938000e-01	1.13906636e-01
4.96607300e+00	6.82920000e-01	1.15848454e-01
4.97605100e+00	6.59030000e-01	1.14670259e-01
4.98603000e+00	7.72034500e-01	1.16787246e-01
4.99600900e+00	7.93582000e-01	1.15617478e-01
5.00598800e+00	8.07966000e-01	1.17584324e-01
5.01596700e+00	6.73186500e-01	1.19034870e-01
5.02594600e+00	6.07318500e-01	1.19978101e-01
5.03592400e+00	8.26578500e-01	1.16070531e-01
5.04590300e+00	8.93614000e-01	1.21026091e-01
5.05588200e+00	8.72363500e-01	1.19541708e-01
5.06586100e+00	7.86227000e-01	1.21270433e-01
5.07584000e+00	6.92342500e-01	1.22324065e-01
5.08581900e+00	7.16163000e-01	9.81121129e+00
5.09579800e+00	6.49656500e-01	9.79488364e+00
5.10577600e+00	6.57965500e-01	9.85733793e+00
5.11575500e+00	6.93107000e-01	9.79944555e+00
5.12573400e+00	8.71343500e-01	9.78840792e+00
5.13571300e+00	5.32114500e-01	9.73250067e+00
5.14569200e+00	7.83009500e-01	9.82769355e+00
5.15567100e+00	9.06604000e-01	9.91301147e+00
5.16565000e+00	7.29823500e-01	9.79499651e+00
5.17562800e+00	7.61802500e-01	9.69783146e+00
5.18560700e+00	9.48403500e-01	9.82885117e+00
