q[A-1]	I(q)[sr-1]_nmA(Lyso_Lyso_4_frames_005_350_sub.dat_00001_[sub(Lyso_Lyso_4_frames_005_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])])	error
4.36734100e-01	9.38322900e-01	1.47803866e-01
4.37732000e-01	6.35033100e-01	1.41529728e-01
4.38729900e-01	8.50489300e-01	1.45810598e-01
4.39727800e-01	6.90838700e-01	1.40372283e-01
4.40725700e-01	8.26807500e-01	1.45291829e-01
4.41723600e-01	9.45357700e-01	1.45738261e-01
4.42721400e-01	7.30696500e-01	1.42939373e-01
4.43719300e-01	6.94506400e-01	1.41052551e-01
4.44717200e-01	7.47305700e-01	1.42038755e-01
4.45715100e-01	9.41903300e-01	6.84153923e+00
4.46713000e-01	1.10883030e+00	6.96447434e+00
4.47710900e-01	5.83801200e-01	1.38864939e-01
4.48708800e-01	7.03726200e-01	1.40617168e-01
4.49706600e-01	7.59708900e-01	1.41158504e-01
4.50704500e-01	7.40408200e-01	1.43184925e-01
4.51702400e-01	5.96339900e-01	1.36852714e-01
4.52700300e-01	6.22983700e-01	1.40864420e-01
4.53698200e-01	8.78065200e-01	6.80467825e+00
4.54696100e-01	5.54726600e-01	6.60025453e+00
4.55694000e-01	6.23070200e-01	6.64639923e+00
4.56691800e-01	7.43273600e-01	1.40895722e-01
4.57689700e-01	6.54573400e-01	1.39417297e-01
4.58687600e-01	6.45013000e-01	1.37573022e-01
4.59685500e-01	6.47202700e-01	1.38145854e-01
4.60683400e-01	8.37494600e-01	1.41410119e-01
4.61681300e-01	5.64035000e-01	1.36987947e-01
4.62679100e-01	7.18991400e-01	1.39554681e-01
4.63677000e-01	6.59957200e-01	1.37243912e-01
4.64674900e-01	5.96404700e-01	1.37376249e-01
4.65672800e-01	7.47939200e-01	1.39407645e-01
4.66670700e-01	7.43994100e-01	1.40466786e-01
4.67668600e-01	6.97532400e-01	1.37993613e-01
4.68666500e-01	6.21494200e-01	1.36904647e-01
4.69664300e-01	6.07418700e-01	1.38251633e-01
4.70662200e-01	6.32824300e-01	6.72148146e+00
4.71660100e-01	7.23117700e-01	6.76731971e+00
4.72658000e-01	8.96392500e-01	1.46172598e-01
4.73655900e-01	8.16376800e-01	1.45973553e-01
4.74653800e-01	5.09455700e-01	4.02449254e+00
4.75651700e-01	7.49012100e-01	4.04994505e+00
4.76649500e-01	7.30783100e-01	4.00560979e+00
4.77647400e-01	6.02645500e-01	1.42400649e-01
4.78645300e-01	3.87785000e-01	1.38556040e-01
4.79643200e-01	4.77753100e-01	1.40770476e-01
4.80641100e-01	6.95298200e-01	1.46242529e-01
4.81639000e-01	6.30362500e-01	6.73769766e+00
4.82636900e-01	8.74622900e-01	6.87726914e+00
4.83634700e-01	5.24124100e-01	6.65961738e+00
4.84632600e-01	7.28270000e-01	6.77440958e+00
4.85630500e-01	7.28018800e-01	1.51018420e-01
4.86628400e-01	6.88895800e-01	1.48234066e-01
4.87626300e-01	7.27208100e-01	1.50211250e-01
4.88624200e-01	7.42229300e-01	1.54611709e-01
4.89622100e-01	1.03742820e+00	1.60193468e-01
4.90619900e-01	5.98057700e-01	1.52894071e-01
4.91617800e-01	5.67393900e-01	1.53292696e-01
4.92615700e-01	6.59076700e-01	1.56087456e-01
4.93613600e-01	6.85982800e-01	1.59194033e-01
4.94611500e-01	9.81075100e-01	1.64290710e-01
4.95609400e-01	4.57147200e-01	1.53996067e-01
4.96607300e-01	9.41568800e-01	1.64810961e-01
4.97605100e-01	7.72866900e-01	1.62337371e-01
4.98603000e-01	1.00929070e+00	1.68149013e-01
4.99600900e-01	7.53948500e-01	1.61496313e-01
5.00598800e-01	3.89497200e-01	1.55798965e-01
5.01596700e-01	5.94877300e-01	1.60736739e-01
5.02594600e-01	6.33598100e-01	1.61918013e-01
5.03592400e-01	6.56640900e-01	1.60979079e-01
