q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_4_frames_029_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])	error
4.36734100e+00	8.45941900e-01	1.45866456e-01
4.37732000e+00	6.65805100e-01	1.42197217e-01
4.38729900e+00	9.48758300e-01	1.47865753e-01
4.39727800e+00	1.01494270e+00	1.47138072e-01
4.40725700e+00	7.77537500e-01	1.44243831e-01
4.41723600e+00	8.61778700e-01	1.44016171e-01
4.42721400e+00	7.79595500e-01	1.43981145e-01
4.43719300e+00	7.67015400e-01	1.42597109e-01
4.44717200e+00	9.59936700e-01	1.46515378e-01
4.45715100e+00	9.35852300e-01	6.83757607e+00
4.46713000e+00	7.95140300e-01	6.75965774e+00
4.47710900e+00	9.83948200e-01	1.47341452e-01
4.48708800e+00	7.45516200e-01	1.41501535e-01
4.49706600e+00	9.79424900e-01	1.45706802e-01
4.50704500e+00	5.46266200e-01	1.39010999e-01
4.51702400e+00	9.05536900e-01	1.43291617e-01
4.52700300e+00	6.29005700e-01	1.40993021e-01
4.53698200e+00	9.13183200e-01	6.82776128e+00
4.54696100e+00	8.50465600e-01	6.79804620e+00
4.55694000e+00	5.81748200e-01	6.61848559e+00
4.56691800e+00	6.84475600e-01	1.39663417e-01
4.57689700e+00	8.38294400e-01	1.43268976e-01
4.58687600e+00	9.11637000e-01	1.43079389e-01
4.59685500e+00	7.35284700e-01	1.40005353e-01
4.60683400e+00	6.64504600e-01	1.37837902e-01
4.61681300e+00	7.58709000e-01	1.41117469e-01
4.62679100e+00	8.47337400e-01	1.42212048e-01
4.63677000e+00	9.29587200e-01	1.42768033e-01
4.64674900e+00	9.75361700e-01	1.45195020e-01
4.65672800e+00	7.47939200e-01	1.39407645e-01
4.66670700e+00	7.84489100e-01	1.41298150e-01
4.67668600e+00	5.72523400e-01	1.35395435e-01
4.68666500e+00	7.70651200e-01	1.39994902e-01
4.69664300e+00	8.87810700e-01	1.44053609e-01
4.70662200e+00	7.47707300e-01	6.79762941e+00
4.71660100e+00	1.06823270e+00	6.99207804e+00
4.72658000e+00	6.73724500e-01	1.41514671e-01
4.73655900e+00	8.16376800e-01	1.45973553e-01
4.74653800e+00	8.36090700e-01	4.02474263e+00
4.75651700e+00	9.51414100e-01	4.05009831e+00
4.76649500e+00	1.03757510e+00	4.00585454e+00
4.77647400e+00	6.15187500e-01	1.42676569e-01
4.78645300e+00	5.72087000e-01	1.42720221e-01
4.79643200e+00	8.19481100e-01	1.48252825e-01
4.80641100e+00	4.51901200e-01	1.40811413e-01
4.81639000e+00	4.54913500e-01	6.61999982e+00
4.82636900e+00	7.65811900e-01	6.80601124e+00
4.83634700e+00	6.99828100e-01	6.77679571e+00
4.84632600e+00	8.05854000e-01	6.82552908e+00
4.85630500e+00	6.28231800e-01	1.48804299e-01
4.86628400e+00	5.97855800e-01	1.46223597e-01
4.87626300e+00	6.22172100e-01	1.47898240e-01
4.88624200e+00	7.14161300e-01	1.53973450e-01
4.89622100e+00	8.77039200e-01	1.56663614e-01
4.90619900e+00	7.77995700e-01	1.57072266e-01
4.91617800e+00	8.67040900e-01	1.60113994e-01
4.92615700e+00	8.33639700e-01	1.60102958e-01
4.93613600e+00	5.95848800e-01	1.57053204e-01
4.94611500e+00	6.35861100e-01	1.56383665e-01
4.95609400e+00	9.01426200e-01	1.64500042e-01
4.96607300e+00	1.07654480e+00	1.67853507e-01
4.97605100e+00	5.74583900e-01	1.57611111e-01
4.98603000e+00	6.43229700e-01	1.59632137e-01
4.99600900e+00	7.38760500e-01	1.61138848e-01
5.00598800e+00	6.17449200e-01	1.61446912e-01
5.01596700e+00	8.14583300e-01	1.66012806e-01
5.02594600e+00	5.94123100e-01	1.60952721e-01
5.03592400e+00	9.03623900e-01	1.66794879e-01
5.04590300e+00	8.49900200e-01	1.69322652e-01
5.05588200e+00	6.42743600e-01	1.63744095e-01
5.06586100e+00	8.48716500e-01	1.69240097e-01
5.07584000e+00	7.57129100e-01	1.68089559e-01
5.08581900e+00	8.46917700e-01	6.94528365e+00
5.09579800e+00	8.40655300e-01	6.94114353e+00
5.10577600e+00	8.15743000e-01	6.92505169e+00
5.11575500e+00	1.12524880e+00	7.14868826e+00
5.12573400e+00	7.46060800e-01	6.90756873e+00
